"15032",4.33,3.66,2.50,2.33,3.00,2.83,2.66,2.33,4.33,3.83,3.50,3.00,1.66,1.16,1.33,0.66,1.66,1.33,1.50,1.16,1.50,1.00,1.00,0.33,2.00,2.00,2.33,2.16,1.50,0.66,2.50,1.83,2.16,1.50,1.83,1.50,1.16,0.33,2.00,1.50,1.00,0.16,1.00,0.00,1.83,1.33,2.83,2.33,1.00,0.33,1.16,0.66,1.00,0.00,1.00,0.00,1.50,1.00,1.50,1.00,1.50,1.00,1.66,0.83,1.16,0.50
"19005A",5.00,6.00,2.66,3.50,3.83,5.00,2.83,3.33,3.00,4.00,3.83,5.33,1.33,1.00,1.00,0.33,2.16,2.50,1.00,0.16,1.00,0.16,1.00,0.33,1.00,0.50,3.66,4.16,1.00,0.16,1.00,0.33,1.00,0.50,3.33,4.16,2.50,2.50,2.00,2.50,1.00,0.33,1.66,1.50,4.00,5.50,4.66,4.66,2.16,2.66,1.00,0.33,1.66,1.50,1.50,1.33,3.16,3.00,4.66,5.50,2.16,1.16,3.33,3.83,1.50,1.00
"19005B",5.00,6.33,2.16,2.33,4.50,5.83,4.16,5.16,2.50,3.50,4.00,5.00,4.16,6.16,1.50,1.33,2.66,2.50,2.33,3.00,1.33,1.33,2.83,4.16,1.66,2.16,4.16,4.50,1.16,1.00,1.00,0.50,1.00,0.33,3.16,4.50,2.50,2.66,2.16,2.33,1.00,0.16,2.16,1.83,3.50,4.83,4.50,3.66,1.33,0.83,1.00,0.16,1.16,1.00,1.16,0.83,2.16,2.50,3.16,3.50,2.50,1.66,2.83,3.33,2.33,2.50
"19999A",4.33,4.16,2.33,2.00,3.83,3.66,3.50,3.50,3.66,3.66,4.00,4.00,1.00,0.00,1.00,0.00,1.16,0.50,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.33,2.83,1.00,0.00,1.00,0.00,1.00,0.00,1.33,0.50,1.50,0.50,1.00,0.00,1.16,0.16,1.33,0.50,3.33,3.33,2.66,2.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.66,2.50,2.50,2.16,1.66,0.50,2.16,1.83,1.00,0.00
"19999B",4.66,4.33,2.33,2.16,2.66,2.16,1.83,1.16,4.33,4.83,3.50,3.83,1.00,0.00,1.00,0.00,1.16,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.00,2.83,1.00,0.00,1.00,0.00,1.00,0.00,2.50,2.00,2.66,2.16,1.00,0.00,1.00,0.00,2.16,1.33,4.16,5.00,3.33,3.33,1.16,0.33,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.83,1.33,1.50,0.50,2.83,2.33,1.00,0.00
"19999C",4.33,4.16,1.50,1.00,4.16,3.83,2.00,1.50,1.33,0.66,2.33,1.66,1.00,0.00,1.00,0.00,1.50,0.83,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.50,3.50,1.00,0.00,1.00,0.00,1.00,0.00,1.33,0.50,1.66,0.66,1.16,0.50,1.00,0.00,1.00,0.00,3.33,2.66,3.33,3.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.50,2.00,2.00,0.50,3.00,2.00,1.00,0.00
"19999D",4.33,3.83,2.16,1.66,3.00,2.83,3.83,3.16,4.16,4.33,4.16,3.83,1.33,0.50,1.00,0.00,1.16,0.50,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.33,3.16,1.00,0.00,1.00,0.00,1.00,0.00,2.16,1.83,1.50,0.83,1.00,0.00,1.00,0.00,1.33,0.50,2.83,2.83,2.66,2.33,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.50,1.16,1.50,0.66,1.83,0.66,2.50,1.66,1.00,0.00
"19999E",4.50,4.33,2.00,1.33,4.33,3.83,1.66,1.16,3.83,3.66,4.00,3.50,1.00,0.00,1.00,0.00,1.16,0.50,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.83,3.50,1.00,0.00,1.00,0.00,1.00,0.00,1.66,1.16,1.16,0.33,1.00,0.00,1.00,0.00,1.00,0.00,3.16,2.50,2.66,2.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.00,1.50,1.33,0.50,1.66,0.83,1.00,0.00
"19999F",4.66,4.16,2.16,1.66,1.66,1.16,3.00,3.16,3.66,3.33,4.16,3.66,1.00,0.00,1.00,0.00,2.50,2.50,1.16,0.33,1.00,0.00,1.00,0.00,1.16,0.50,2.66,2.16,1.00,0.00,1.16,0.16,1.00,0.00,2.16,1.50,1.50,0.83,1.33,0.33,1.00,0.00,1.00,0.00,3.33,3.33,3.00,2.50,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,4.33,3.83,3.66,2.50,2.33,1.33,1.50,0.66,1.00,0.00
"21102",2.50,2.33,2.66,2.83,3.33,3.33,1.00,0.83,1.00,0.66,1.00,0.00,1.00,0.00,1.00,0.00,2.33,2.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,4.33,4.33,1.00,0.00,1.00,0.00,1.00,0.16,1.00,0.00,1.50,0.83,1.50,1.16,1.33,0.66,1.16,0.33,1.16,0.66,3.50,2.83,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.16,0.66,2.33,1.83,1.66,0.83,1.83,1.33,1.16,0.66
