"21911F",3.37,3.22,3.06,3.16,3.54,3.20,3.00,3.75,3.00,3.00,2.75,3.87,2.87,3.25,2.25,2.75,3.00,3.00,3.75,3.62,3.25,3.50,3.75,3.00,3.00,4.12,3.62
"21911H",3.37,3.52,3.31,2.87,3.70,3.00,3.37,3.37,3.50,3.87,2.75,4.12,3.12,3.25,2.12,3.25,3.12,3.00,3.50,4.12,2.25,3.62,4.00,3.00,3.62,3.50,3.37
"21911J",3.56,3.72,3.56,2.91,3.20,3.45,3.62,3.50,3.87,3.75,3.62,3.62,3.75,3.12,2.87,3.50,3.00,3.12,3.75,3.87,2.62,3.75,3.50,2.50,3.00,4.37,3.75
"21911K",3.31,3.29,2.96,2.83,3.66,2.95,3.25,3.37,3.25,2.87,3.00,3.62,3.50,3.00,1.50,3.37,3.37,2.87,3.87,3.62,2.12,3.12,3.87,3.50,3.00,3.00,3.50
"21911L",2.93,3.18,2.68,2.70,3.33,3.00,3.00,2.87,3.25,2.75,2.87,3.37,3.12,2.87,1.62,3.75,3.50,2.37,3.62,3.62,1.75,2.75,3.62,3.00,2.50,2.87,3.75
"21911M",3.00,3.16,2.81,2.83,3.54,2.83,2.87,3.12,3.25,2.87,3.12,3.62,3.00,3.12,1.62,3.37,3.37,2.37,3.50,3.62,2.00,2.87,3.75,3.25,2.62,3.12,3.37
"21911N",2.93,3.18,2.71,2.75,3.29,3.08,3.00,2.87,3.12,2.75,2.62,3.37,3.37,2.75,1.50,3.75,3.50,2.50,4.00,3.62,2.00,3.00,3.25,3.25,2.50,2.75,3.75
"21911P",3.62,3.18,3.03,3.25,2.62,3.66,3.87,3.37,3.37,2.37,3.75,3.37,3.37,3.37,2.62,2.62,3.37,3.00,4.12,4.25,3.00,3.00,2.62,1.87,2.75,2.75,4.25
"21911R",2.93,3.25,2.65,2.75,3.16,3.16,3.00,2.87,3.25,2.75,2.50,3.25,3.12,3.00,1.87,3.50,3.25,2.50,4.00,3.75,2.00,2.87,3.25,3.00,3.12,2.75,3.62
"21911T",3.18,3.35,2.84,3.04,3.41,3.08,3.12,3.25,3.37,2.87,3.00,3.62,3.50,2.87,1.75,3.25,3.87,2.37,3.75,3.62,2.37,3.12,3.50,3.12,2.62,3.75,3.75
"21914",3.31,3.43,2.87,2.66,3.66,2.95,3.37,3.25,3.25,3.25,3.25,4.00,3.25,2.75,1.87,3.25,2.87,2.50,3.50,4.12,2.37,2.50,4.00,3.00,2.62,4.12,3.50
"21917",3.00,3.41,2.68,2.79,3.12,3.25,3.12,2.87,3.25,3.00,2.25,3.37,3.62,2.50,2.00,4.00,3.50,2.62,4.00,3.87,2.37,2.87,3.25,2.75,2.25,3.50,3.75
"21921",3.00,3.39,2.93,2.79,3.83,2.95,3.00,3.00,3.37,3.87,2.50,4.25,3.12,2.75,1.87,3.50,3.25,2.50,3.75,3.87,2.37,2.87,4.12,3.12,2.50,4.00,3.25
"21999A",3.81,3.70,3.37,3.08,3.00,3.95,4.00,3.62,3.75,3.25,2.87,3.50,4.37,3.50,3.75,3.00,3.37,3.62,4.12,3.75,2.37,3.75,3.25,2.25,2.87,4.50,4.00
"21999B",3.68,3.31,2.96,3.50,3.00,2.70,3.50,3.87,3.87,3.50,2.12,3.37,3.12,3.50,2.75,2.37,3.37,2.75,2.62,3.00,3.62,3.50,3.00,2.62,3.25,4.25,2.75
"21999C",3.18,3.27,2.71,3.45,3.50,2.50,3.12,3.25,3.62,3.12,2.12,3.87,3.00,3.25,2.50,2.75,3.75,2.62,2.50,3.62,3.37,3.00,3.62,3.00,2.62,4.00,2.50
