"22599A",6.33,4.00,5.00,2.00,3.66,3.66,1.00,3.00,0.00
"22599B",6.00,5.33,2.33,2.00,2.66,4.33,1.00,2.00,6.00
"22599C",5.33,6.33,2.33,2.00,2.33,4.00,2.00,1.00,6.00
"22599D",6.33,4.33,4.00,2.00,2.33,5.00,1.00,6.00,2.00
"22599E",5.00,6.00,2.33,2.00,2.33,4.00,2.00,1.00,6.00
"22599F",5.00,6.00,2.33,2.00,2.33,4.00,2.00,1.00,6.00
"24102A",5.00,7.00,3.66,2.00,2.00,4.66,2.00,1.00,6.00
"24102B",5.33,7.00,3.66,2.00,2.00,4.33,2.00,1.00,6.00
"24105",6.00,7.00,3.00,2.00,2.00,4.66,2.00,1.00,6.00
"24108",5.66,7.00,3.00,3.00,2.66,3.66,2.00,1.00,0.00
"24111A",6.00,7.00,3.00,2.00,2.33,4.00,2.00,1.00,0.00
"24111B",5.66,7.00,3.00,2.00,2.66,4.00,2.00,1.00,0.00
"24199A",5.33,6.66,3.00,2.00,2.33,3.66,2.00,1.00,0.00
"24199B",5.33,7.00,2.66,2.00,2.33,3.66,2.00,1.00,0.00
"24199C",5.66,7.00,2.66,2.00,2.33,3.66,2.00,1.00,0.00
"24302A",6.33,5.66,2.33,2.33,3.00,3.00,1.00,2.00,0.00
"24302B",5.33,6.00,2.33,2.00,2.33,4.00,2.00,1.00,6.00
"24302C",5.00,6.00,2.33,2.00,2.33,3.66,2.00,1.00,6.00
"24302D",5.33,6.33,2.33,2.00,2.33,3.33,2.00,1.00,0.00
"24302E",5.00,4.00,3.33,5.66,3.33,2.33,4.00,1.00,0.00
"24305A",5.66,7.00,2.33,2.33,3.00,3.66,2.00,1.00,0.00
"24305B",5.66,7.00,2.33,2.00,3.00,4.00,2.00,1.00,0.00
"24305C",6.00,6.66,2.66,2.00,3.00,4.00,2.00,1.00,0.00
"24305D",6.00,7.00,2.33,2.00,2.66,3.66,2.00,1.00,0.00
"24308A",5.00,7.00,3.00,2.00,2.00,3.66,2.00,1.00,0.00
"24308B",5.00,7.00,3.33,2.00,2.33,3.66,2.00,1.00,0.00
"24308C",5.00,7.00,3.33,2.00,2.33,4.00,2.00,1.00,0.00
"24308D",5.33,7.00,3.00,2.00,2.33,3.33,2.00,1.00,0.00
"24308E",5.66,7.00,2.33,2.00,2.00,3.33,2.00,1.00,0.00
"24308F",5.00,7.00,3.00,2.33,2.00,3.33,2.00,1.00,0.00
"24308G",5.33,7.00,2.66,2.00,2.00,3.33,2.00,1.00,0.00
"24308H",5.00,7.00,2.66,2.33,2.00,3.33,2.00,1.00,0.00
"24308J",4.66,7.00,3.00,3.00,2.33,3.33,2.00,1.00,0.00
"24311",4.66,6.33,3.00,4.33,3.33,3.33,2.00,1.00,4.00
"24502A",4.66,6.00,2.66,2.00,2.33,3.00,2.00,1.00,0.00
"24502B",6.33,4.66,2.00,2.00,2.33,3.66,1.00,2.00,6.00
"24502C",6.33,4.33,2.00,2.33,2.33,4.00,1.00,2.00,6.00
"24502D",6.33,4.00,3.00,2.66,2.33,3.66,1.00,2.00,0.00
"24505A",6.33,5.33,2.33,2.00,2.00,4.00,1.00,2.00,6.00
"24505B",6.33,5.33,2.33,2.00,2.33,4.00,1.00,2.00,6.00
"24505C",6.33,5.00,2.00,2.00,2.33,3.66,1.00,2.00,6.00
"24505D",6.33,4.00,2.33,2.00,2.33,3.66,1.00,2.00,6.00
"24505E",5.66,6.33,2.00,2.00,2.33,3.33,2.00,1.00,0.00
"24508A",6.66,4.00,2.00,2.33,2.33,3.00,1.00,2.00,0.00
"24508B",6.33,5.00,2.00,2.00,2.00,3.00,1.00,2.00,0.00
"24511B",6.33,4.00,2.00,2.00,2.33,5.00,1.00,6.00,2.00
"24511E",6.33,4.66,2.00,2.00,2.00,3.33,1.00,2.00,0.00
"24599A",5.00,6.00,2.00,2.00,2.00,3.33,2.00,1.00,0.00
"24599B",5.33,6.00,2.00,2.33,3.33,5.66,2.00,6.00,1.00
"24599C",6.00,5.00,2.00,2.00,2.66,5.33,1.00,6.00,2.00
"25102",4.66,5.66,2.33,2.00,3.33,5.00,2.00,6.00,1.00
"25103A",4.00,5.66,2.33,3.33,3.00,4.33,2.00,6.00,1.00
"25103B",5.00,6.00,2.66,2.00,3.33,6.00,2.00,6.00,1.00
"25104",4.66,5.33,2.33,3.66,3.00,5.33,2.00,6.00,1.00
"25105",4.66,6.00,2.33,2.00,2.33,4.33,2.00,1.00,6.00
"25111",6.00,5.00,2.00,2.00,2.66,5.66,1.00,6.00,2.00
"25199A",4.33,6.00,2.33,2.33,3.66,3.66,2.00,1.00,0.00
"25302",4.66,6.33,2.00,2.66,4.33,5.33,2.00,6.00,1.00
"25312",3.66,6.33,2.66,2.00,3.00,6.00,2.00,6.00,0.00
"25313",4.00,5.33,2.00,2.00,3.66,7.00,6.00,2.00,0.00
