	(1)	(2)	(3)	(4)
	[0.164]		[0.154]	
_Iind6090_571	1.114***		0.683**	
	[0.358]		[0.340]	
_Iind6090_580	1.322***		0.299	
	[0.283]		[0.257]	
_Iind6090_581	1.831***		0.408	
	[0.347]		[0.271]	
_Iind6090_592	1.425***		0.293	
	[0.419]		[0.409]	
_Iind6090_602	2.132***		-0.598	
	[0.746]		[0.654]	
_Iind6090_621	1.469***		0.313	
	[0.274]		[0.201]	
_Iind6090_626	1.127***		0.463***	
	[0.157]		[0.127]	
_Iind6090_630	0.312		0.908***	
	[0.222]		[0.201]	
_Iind6090_631	-0.807*		1.381***	
	[0.463]		[0.311]	
_Iind6090_632	1.163***		-0.189	
	[0.247]		[0.301]	
_Iind6090_636	1.932***		-0.303**	
	[0.177]		[0.142]	
_Iind6090_640	0.983***		0.342	
	[0.297]		[0.235]	
_Iind6090_641	-0.191*		-0.035	
	[0.107]		[0.117]	
_Iind6090_642	0.717**		0.794***	
	[0.325]		[0.244]	
_Iind6090_646	1.460***		0.084	
	[0.150]		[0.160]	
_Iind6090_650	2.007***		0.178	
	[0.660]		[0.382]	
_Iind6090_660	0.253		0.788***	
	[0.332]		[0.233]	
_Iind6090_672	2.729***		-0.696***	
	[0.387]		[0.258]	
_Iind6090_681	-0.286		1.388***	
	[0.461]		[0.339]	
_Iind6090_691	0.996***		0.554**	
	[0.261]		[0.230]	
_Iind6090_696	0.991***		0.294**	
	[0.180]		[0.141]	
_Iind6090_706	3.159***		0.789***	
	[0.137]		[0.140]	
_Iind6090_710	2.577***		1.596***	
	[0.205]		[0.193]	
_Iind6090_711	1.398***		1.053***	
	[0.192]		[0.145]	
_Iind6090_712	0.303		0.932***	
	[0.185]		[0.166]	
_Iind6090_721	1.456***		0.791***	
	[0.331]		[0.281]	
_Iind6090_736	2.030***		0.107	
	[0.118]		[0.108]	
_Iind6090_756	2.081***		-0.508***	
	[0.128]		[0.152]	
_Iind6090_761	-1.657***		-0.429***	
	[0.113]		[0.121]	
_Iind6090_766	0.893***		-1.067***	
	[0.144]		[0.132]	
_Iind6090_771	2.188***		-1.024***	
	[0.217]		[0.248]	
_Iind6090_776	-0.781***		0.044	
	[0.132]		[0.121]	
_Iind6090_782	1.403***		0.627***	
	[0.402]		[0.199]	
_Iind6090_786	0.854***		-0.113	
	[0.112]		[0.125]	
_Iind6090_790	2.378***		-2.319***	
	[0.482]		[0.599]	
_Iind6090_800	1.147***		-0.264	
	[0.306]		[0.225]	
_Iind6090_801	-0.115		0.296	
	[0.526]		[0.592]	
_Iind6090_802	0.521***		0.228	
	[0.158]		[0.147]	
_Iind6090_826	0.599***		0.799***	
	[0.129]		[0.105]	
_Iind6090_831	2.360***		0.681***	
	[0.143]		[0.118]	
_Iind6090_841	1.990***		0.680***	
	[0.263]		[0.186]	
_Iind6090_856	0.330***		0.563***	
	[0.115]		[0.107]	
_Iind6090_876	-0.203		1.300***	
	[0.181]		[0.157]	
_Iind6090_881	0.957***		0.511***	
	[0.221]		[0.182]	
_Iind6090_882	1.791***		0.835***	
	[0.265]		[0.181]	
_Iind6090_890	3.084***		-0.326**	
	[0.164]		[0.149]	
_Iind6090_901	1.617***		0.567***	
	[0.136]		[0.116]	
math		-0.122***		-0.193***
		[0.025]		[0.015]
number_facility		0.629***		-0.045***
		[0.018]		[0.011]
reason		0.356***		0.043***
		[0.023]		[0.013]
info_use		-1.001***		0.896***
		[0.023]		[0.014]
				
Observations	109,423	109,423	109,423	109,423
R-squared	0.217	0.232	0.312	0.667
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.10				
