	(1)	(2)	(3)	(4)
	[0.351]		[0.217]	
_Iind6090_672	2.487***		-0.436	
	[0.346]		[0.336]	
_Iind6090_681	-0.047		1.271***	
	[0.401]		[0.278]	
_Iind6090_691	0.847***		0.683***	
	[0.205]		[0.169]	
_Iind6090_696	1.070***		0.314***	
	[0.141]		[0.114]	
_Iind6090_706	3.026***		0.733***	
	[0.104]		[0.110]	
_Iind6090_710	2.621***		1.545***	
	[0.165]		[0.170]	
_Iind6090_711	1.308***		1.004***	
	[0.151]		[0.112]	
_Iind6090_712	0.205		0.888***	
	[0.139]		[0.130]	
_Iind6090_721	1.546***		0.385	
	[0.266]		[0.302]	
_Iind6090_736	1.873***		0.167**	
	[0.090]		[0.080]	
_Iind6090_756	2.067***		-0.592***	
	[0.101]		[0.109]	
_Iind6090_761	-1.761***		-0.226**	
	[0.087]		[0.092]	
_Iind6090_766	0.607***		-0.872***	
	[0.113]		[0.097]	
_Iind6090_771	2.107***		-0.953***	
	[0.166]		[0.202]	
_Iind6090_776	-0.884***		-0.017	
	[0.102]		[0.094]	
_Iind6090_782	1.599***		0.415	
	[0.403]		[0.313]	
_Iind6090_786	0.632***		0.015	
	[0.082]		[0.096]	
_Iind6090_790	1.947***		-2.010***	
	[0.505]		[0.592]	
_Iind6090_800	0.848***		-0.038	
	[0.237]		[0.206]	
_Iind6090_801	-0.280		0.875*	
	[0.428]		[0.496]	
_Iind6090_802	0.401***		0.278**	
	[0.117]		[0.108]	
_Iind6090_826	0.284***		0.947***	
	[0.098]		[0.080]	
_Iind6090_831	1.912***		0.738***	
	[0.113]		[0.086]	
_Iind6090_841	2.070***		0.634***	
	[0.203]		[0.143]	
_Iind6090_856	0.059		0.685***	
	[0.089]		[0.080]	
_Iind6090_876	-0.411***		1.471***	
	[0.141]		[0.121]	
_Iind6090_881	0.672***		0.692***	
	[0.187]		[0.150]	
_Iind6090_882	1.674***		0.893***	
	[0.206]		[0.152]	
_Iind6090_890	2.884***		-0.261**	
	[0.132]		[0.130]	
_Iind6090_901	1.368***		0.626***	
	[0.105]		[0.087]	
math		-0.050***		-0.206***
		[0.019]		[0.011]
number_facility		0.602***		-0.036***
		[0.014]		[0.009]
reason		0.246***		0.061***
		[0.018]		[0.010]
info_use		-0.944***		0.880***
		[0.018]		[0.010]
				
Observations	109,423	109,423	109,423	109,423
R-squared	0.230	0.225	0.326	0.668
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.10				
